provincia_nombre,casos,prop_masc,prop_joven,edad_media,anio,mes,region,cluster_territorial,perfil_dominante,lag1,lag2,lag3,roll3_mean,roll3_std,umbral_alerta,alerta
Catamarca,2,0.5,1.0,22.0,2018,6,NOA,2,1,2.0,7.0,5.0,4.666666666666667,2.5166114784235836,4.600000000000001,0
Catamarca,1,1.0,0.0,57.0,2018,7,NOA,2,1,2.0,2.0,7.0,3.6666666666666665,2.886751345948129,4.600000000000001,0
Catamarca,2,1.0,0.5,29.5,2018,8,NOA,2,1,1.0,2.0,2.0,1.6666666666666667,0.5773502691896258,4.600000000000001,0
Catamarca,3,1.0,0.3333333333333333,38.666666666666664,2018,9,NOA,2,1,2.0,1.0,2.0,1.6666666666666667,0.5773502691896258,4.600000000000001,0
Catamarca,0,0.7865730869462212,0.5363657900971334,35.32364960909737,2018,10,NOA,2,1,3.0,2.0,1.0,2.0,1.0,4.600000000000001,0
Catamarca,5,0.8,0.6,31.0,2018,11,NOA,2,1,0.0,3.0,2.0,1.6666666666666667,1.5275252316519465,4.600000000000001,1
Catamarca,0,0.7865730869462212,0.5363657900971334,35.32364960909737,2018,12,NOA,2,1,5.0,0.0,3.0,2.6666666666666665,2.5166114784235836,4.600000000000001,0
Catamarca,0,0.7865730869462212,0.5363657900971334,35.32364960909737,2019,1,NOA,2,1,0.0,5.0,0.0,1.6666666666666667,2.886751345948129,4.600000000000001,0
Catamarca,3,1.0,0.3333333333333333,45.333333333333336,2019,2,NOA,2,1,0.0,0.0,5.0,1.6666666666666667,2.886751345948129,4.600000000000001,0
Catamarca,2,0.5,1.0,24.5,2019,3,NOA,2,1,3.0,0.0,0.0,1.0,1.7320508075688772,4.600000000000001,0
Catamarca,2,1.0,1.0,22.0,2019,4,NOA,2,1,2.0,3.0,0.0,1.6666666666666667,1.5275252316519468,4.600000000000001,0
Catamarca,3,0.6666666666666666,0.6666666666666666,27.0,2019,5,NOA,2,1,2.0,2.0,3.0,2.3333333333333335,0.5773502691896258,4.600000000000001,0
Catamarca,2,1.0,1.0,19.5,2019,6,NOA,2,1,3.0,2.0,2.0,2.3333333333333335,0.5773502691896257,4.600000000000001,0
Catamarca,7,0.8571428571428571,0.42857142857142855,31.285714285714285,2019,7,NOA,2,1,2.0,3.0,2.0,2.3333333333333335,0.5773502691896257,4.600000000000001,1
Catamarca,0,0.7865730869462212,0.5363657900971334,35.32364960909737,2019,8,NOA,2,1,7.0,2.0,3.0,4.0,2.6457513110645907,4.600000000000001,0
Catamarca,3,1.0,0.3333333333333333,53.666666666666664,2019,9,NOA,2,1,0.0,7.0,2.0,3.0,3.605551275463989,4.600000000000001,0
Catamarca,2,0.5,1.0,22.0,2019,10,NOA,2,1,3.0,0.0,7.0,3.3333333333333335,3.5118845842842465,4.600000000000001,0
Catamarca,2,1.0,0.5,39.5,2019,11,NOA,2,1,2.0,3.0,0.0,1.6666666666666667,1.5275252316519472,4.600000000000001,0
Catamarca,4,1.0,0.5,34.5,2019,12,NOA,2,1,2.0,2.0,3.0,2.3333333333333335,0.5773502691896273,4.600000000000001,0
Catamarca,2,1.0,0.5,54.5,2020,1,NOA,2,1,4.0,2.0,2.0,2.6666666666666665,1.1547005383792517,4.600000000000001,0
